"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R67","100k","TopLayer","Res_1K_0603_1/8W","6016.911","-428.084","270","1K SMD"
"U17","TPS61088RHLR","TopLayer","TPS61088RHLR","5871.959","-664.910","0","IC REG BOOST ADJ 10A 20VQFN"
"W13","Jumper","TopLayer","Jumper","5581.262","-1011.379","90","Jumper Wire"
"W14","Jumper","TopLayer","Jumper","6107.510","-48.975","180","Jumper Wire"
"R68","0","TopLayer","Res_1K_0603_1/8W","2469.773","-1009.021","360","1K SMD"
"R69","0","TopLayer","Res_1K_0603_1/8W","2503.590","-823.109","90","1K SMD"
"JP2","Socket SMD","BottomLayer","Socket_Pila_12mm_SMD","4107.210","-263.204","180",""
"W15","Jumper","TopLayer","Jumper","5457.624","-268.173","0","Jumper Wire"
"W16","Jumper","BottomLayer","Jumper","4332.643","-614.283","180","Jumper Wire"
"W17","Jumper","TopLayer","Jumper","4724.233","-301.487","0","Jumper Wire"
"W18","Jumper","TopLayer","Jumper","4274.716","-811.765","180","Jumper Wire"
"W19","Jumper","BottomLayer","Jumper","4832.067","-1073.807","180","Jumper Wire"
"Q2","BSS123","BottomLayer","MOSFET_BSS123__SMD_SOT-23","2422.192","-291.304","270","MOSFET N-CH 100V 170MA"
"Q3","BSS123","BottomLayer","MOSFET_BSS123__SMD_SOT-23","3413.166","-299.740","90","MOSFET N-CH 100V 170MA"
"Q4","BSS123","TopLayer","MOSFET_BSS123__SMD_SOT-23","3108.754","-202.637","0","MOSFET N-CH 100V 170MA"
"R70","10K","BottomLayer","Res_10K_0603_1/10W","2574.901","-290.908","90","10K"
"R71","10K","BottomLayer","Res_10K_0603_1/10W","2287.542","-375.343","360","10K"
"R72","10K","BottomLayer","Res_10K_0603_1/10W","3262.052","-299.110","270","10K"
"R73","10K","BottomLayer","Res_10K_0603_1/10W","3572.154","-304.500","270","10K"
"R74","10K","TopLayer","Res_10K_0603_1/10W","3050.480","-348.323","180","10K"
"R75","10K","TopLayer","Res_10K_0603_1/10W","3106.673","-79.845","0","10K"
"JP1","Socket uSD","BottomLayer","uSD_Socket","2911.988","-320.727","270",""
"JP4","BNC Conector","TopLayer","BNC_Conector","-67.626","-581.573","90",""
